Male,Gender,CollegeGrad,Month,Year,Difference
40816348.33,Male,College,2,2020,0
40189243.17,Male,College,3,2020,-1.536406821
34641853.90,Male,College,4,2020,-15.12750327
35927447.43,Male,College,5,2020,-11.97780081
36843508.16,Male,College,6,2020,-9.733453218
37348989.90,Male,College,7,2020,-8.495023616
38100727.84,Male,College,8,2020,-6.653266647
38945978.04,Male,College,9,2020,-4.582404763
39555289.50,Male,College,10,2020,-3.089592483
39052916.61,Male,College,11,2020,-4.320405407
38410425.34,Male,College,12,2020,-5.894508177
38142258.34,Male,College,1,2021,-6.551516976
37837823.84,Male,College,2,2021,-7.297381103
38292888.64,Male,College,3,2021,-6.182472939
38794698.55,Male,College,4,2021,-4.953039316
26744713.40,Male,<College,2,2020,0
26918064.87,Male,<College,3,2020,0.648170976
25243711.21,Male,<College,4,2020,-5.612332305
25596688.96,Male,<College,5,2020,-4.292528482
25935539.22,Male,<College,6,2020,-3.025548144
25832754.61,Male,<College,7,2020,-3.40986563
26276951.47,Male,<College,8,2020,-1.748988381
25690559.80,Male,<College,9,2020,-3.941540088
25693770.27,Male,<College,10,2020,-3.929535958
25761584.75,Male,<College,11,2020,-3.675973772
26228774.28,Male,<College,12,2020,-1.929125627
26052033.57,Male,<College,1,2021,-2.589969164
26628195.78,Male,<College,2,2021,-0.435665988
26613653.33,Male,<College,3,2021,-0.490041034
26338607.06,Male,<College,4,2021,-1.518454634
32569109.88,Female,College,2,2020,0
31663469.73,Female,College,3,2020,-2.780672095
25601166.08,Female,College,4,2020,-21.39433293
26345420.94,Female,College,5,2020,-19.10917726
27381499.22,Female,College,6,2020,-15.92800871
27636877.78,Female,College,7,2020,-15.14389591
28393581.09,Female,College,8,2020,-12.8205186
29128951.84,Female,College,9,2020,-10.56264065
30111953.85,Female,College,10,2020,-7.544437165
30322081.51,Female,College,11,2020,-6.899262455
30121107.82,Female,College,12,2020,-7.51633087
29420875.61,Female,College,1,2021,-9.666319656
29340026.75,Female,College,2,2021,-9.914557511
29627274.29,Female,College,3,2021,-9.032594384
29670316.16,Female,College,4,2021,-8.900438884
28028281.65,Female,<College,2,2020,0
28091596.46,Female,<College,3,2020,0.225896153
26071946.85,Female,<College,4,2020,-6.97985993
26651043.79,Female,<College,5,2020,-4.913743472
27294466.44,Female,<College,6,2020,-2.618124147
27262394.94,Female,<College,7,2020,-2.732549642
27657679.64,Female,<College,8,2020,-1.322243064
27302553.60,Female,<College,9,2020,-2.589270577
27476396.39,Female,<College,10,2020,-1.969029949
27356824.34,Female,<College,11,2020,-2.395642082
27698813.98,Female,<College,12,2020,-1.175482943
27751679.06,Female,<College,1,2021,-0.986869596
28260818.52,Female,<College,2,2021,0.829650825
28302510.20,Female,<College,3,2021,0.978399437
28068539.99,Female,<College,4,2021,0.143634706
