Month,Employed,Race,Gender,Difference,month,year
Feb-20,"18,119,686",Black,Male,0.00,2,2020
Mar-20,"17,761,406",Black,Male,-1.98,3,2020
Apr-20,"15,188,524",Black,Male,-16.18,4,2020
May-20,"15,343,682",Black,Male,-15.32,5,2020
Jun-20,"16,038,427",Black,Male,-11.49,6,2020
Jul-20,"16,398,145",Black,Male,-9.50,7,2020
Aug-20,"16,492,616",Black,Male,-8.98,8,2020
Sep-20,"16,586,122",Black,Male,-8.46,9,2020
Oct-20,"17,188,039",Black,Male,-5.14,10,2020
Nov-20,"17,334,605",Black,Male,-4.33,11,2020
Dec-20,"17,118,561",Black,Male,-5.53,12,2020
Jan-21,"17,140,193",Black,Male,-5.41,1,2021
Feb-21,"16,917,484",Black,Male,-6.63,2,2021
Mar-21,"17,202,532",Black,Male,-5.06,3,2021
Apr-21,"17,428,964",Black,Male,-3.81,4,2021
Feb-20,"28,291,788",Latino,Male,0.00,2,2020
Mar-20,"27,441,511",Latino,Male,-3.01,3,2020
Apr-20,"22,588,216",Latino,Male,-20.16,4,2020
May-20,"23,232,136",Latino,Male,-17.88,5,2020
Jun-20,"24,817,016",Latino,Male,-12.28,6,2020
Jul-20,"25,236,578",Latino,Male,-10.80,7,2020
Aug-20,"26,009,076",Latino,Male,-8.07,8,2020
Sep-20,"26,104,815",Latino,Male,-7.73,9,2020
Oct-20,"26,999,576",Latino,Male,-4.57,10,2020
Nov-20,"27,007,241",Latino,Male,-4.54,11,2020
Dec-20,"26,572,391",Latino,Male,-6.08,12,2020
Jan-21,"26,226,060",Latino,Male,-7.30,1,2021
Feb-21,"26,544,104",Latino,Male,-6.18,2,2021
Mar-21,"26,892,915",Latino,Male,-4.94,3,2021
Apr-21,"26,896,330",Latino,Male,-4.93,4,2021
Feb-20,"97,879,443",White,Male,0.00,2,2020
Mar-20,"96,596,864",White,Male,-1.31,3,2020
Apr-20,"84,242,239",White,Male,-13.93,4,2020
May-20,"87,493,402",White,Male,-10.61,5,2020
Jun-20,"90,296,614",White,Male,-7.75,6,2020
Jul-20,"91,326,715",White,Male,-6.69,7,2020
Aug-20,"92,649,144",White,Male,-5.34,8,2020
Sep-20,"93,133,635",White,Male,-4.85,9,2020
Oct-20,"94,352,524",White,Male,-3.60,10,2020
Nov-20,"93,697,830",White,Male,-4.27,11,2020
Dec-20,"93,585,784",White,Male,-4.39,12,2020
Jan-21,"92,603,986",White,Male,-5.39,1,2021
Feb-21,"92,852,310",White,Male,-5.14,2,2021
Mar-21,"93,158,495",White,Male,-4.82,3,2021
Apr-21,"93,631,918",White,Male,-4.34,4,2021
Feb-20,"9,746,649",Black,Female,0.00,2,2020
Mar-20,"9,436,530",Black,Female,-3.18,3,2020
Apr-20,"8,037,251",Black,Female,-17.54,4,2020
May-20,"8,074,860",Black,Female,-17.15,5,2020
Jun-20,"8,439,088",Black,Female,-13.42,6,2020
Jul-20,"8,638,963",Black,Female,-11.36,7,2020
Aug-20,"8,682,184",Black,Female,-10.92,8,2020
Sep-20,"8,784,612",Black,Female,-9.87,9,2020
Oct-20,"9,202,323",Black,Female,-5.58,10,2020
Nov-20,"9,295,079",Black,Female,-4.63,11,2020
Dec-20,"9,141,810",Black,Female,-6.21,12,2020
Jan-21,"9,086,172",Black,Female,-6.78,1,2021
Feb-21,"9,034,136",Black,Female,-7.31,2,2021
Mar-21,"9,126,597",Black,Female,-6.36,3,2021
Apr-21,"9,267,684",Black,Female,-4.91,4,2021
Feb-20,"12,374,715",Latino,Female,0.00,2,2020
Mar-20,"12,018,209",Latino,Female,-2.88,3,2020
Apr-20,"9,407,779",Latino,Female,-23.98,4,2020
May-20,"9,664,383",Latino,Female,-21.90,5,2020
Jun-20,"10,678,643",Latino,Female,-13.71,6,2020
Jul-20,"10,860,982",Latino,Female,-12.23,7,2020
Aug-20,"11,253,693",Latino,Female,-9.06,8,2020
Sep-20,"11,041,883",Latino,Female,-10.77,9,2020
Oct-20,"11,547,393",Latino,Female,-6.69,10,2020
Nov-20,"11,569,988",Latino,Female,-6.50,11,2020
Dec-20,"11,521,845",Latino,Female,-6.89,12,2020
Jan-21,"11,320,043",Latino,Female,-8.52,1,2021
Feb-21,"11,408,616",Latino,Female,-7.81,2,2021
Mar-21,"11,632,565",Latino,Female,-6.00,3,2021
Apr-21,"11,446,837",Latino,Female,-7.50,4,2021
Feb-20,"46,289,606",White,Female,0.00,2,2020
Mar-20,"45,530,711",White,Female,-1.64,3,2020
Apr-20,"38,750,067",White,Female,-16.29,4,2020
May-20,"40,327,686",White,Female,-12.88,5,2020
Jun-20,"41,755,167",White,Female,-9.80,6,2020
Jul-20,"42,389,669",White,Female,-8.43,7,2020
Aug-20,"42,954,180",White,Female,-7.21,8,2020
Sep-20,"43,574,806",White,Female,-5.86,9,2020
Oct-20,"44,345,054",White,Female,-4.20,10,2020
Nov-20,"44,205,412",White,Female,-4.50,11,2020
Dec-20,"44,294,979",White,Female,-4.31,12,2020
Jan-21,"43,743,494",White,Female,-5.50,1,2021
Feb-21,"44,027,387",White,Female,-4.89,2,2021
Mar-21,"44,285,671",White,Female,-4.33,3,2021
Apr-21,"44,241,177",White,Female,-4.43,4,2021
