STATEFIP,pjobrecv
South Dakota,104.7
Alabama,101.7
Maryland,101.2
Montana,101.1
New Mexico,99.0
Utah,98.6
South Carolina,98.5
Idaho,98.2
North Dakota,97.8
Wyoming,97.7
Kansas,97.0
Missouri,96.8
Maine,96.4
Nebraska,96.3
Minnesota,96.1
Wisconsin,96.0
Vermont,95.5
Oregon,95.5
Alaska,94.9
Connecticut,94.9
Mississippi,94.4
Georgia,93.4
Oklahoma,92.7
Texas,92.6
Washington,92.1
New Hampshire,92.0
Arizona,91.7
Virginia,90.8
Ohio,90.7
Illinois,90.0
Arkansas,89.9
Pennsylvania,89.6
North Carolina,89.6
Tennessee,89.4
Kentucky,89.4
Indiana,89.3
Iowa,89.2
District of Columbia,89.1
Colorado,88.9
West Virginia,88.9
New Jersey,87.8
Hawaii,87.4
California,87.2
Rhode Island,86.9
Florida,86.4
Delaware,86.1
Louisiana,85.9
Michigan,85.9
Massachusetts,85.7
Nevada,85.1
New York,83.8
